,company_name
0,IVR
1,PMT
2,GSM
3,AVGO
4,EM
5,BSBR
6,OMER
7,GTEC
8,ANTH
9,AVEO
10,FIBK
11,PRI
12,MUSA
13,ALIM
14,ONE
15,HPP
16,GDOT
17,BKU
18,BCDS
19,APO
20,CLVS
21,VSTM
22,RM
23,MACK
24,CG
25,EVER
26,TLYS
27,EUSP
28,MANU
29,PFMT
30,NBHC
31,SRC
32,RGLS
33,ICPT
34,WDAY
35,CNOB
36,IBTX
37,CMRX
38,HASI
39,VOYA
40,TSC
41,PFSI
42,SLNN
43,EPZM
44,AGIO
45,HTBX
46,ONTX
47,ASC
48,AMH
49,MIXT
50,FPRX
51,XLRN
52,PINC
53,FATE
54,RMAX
55,MGNX
56,AERI
57,ESNT
58,KPTI
59,DRIO
60,NMIH
61,TNDM
62,XNCR
63,TLOG
64,RDUS
65,ARDX
66,ADPT
67,ISTR
68,SAGE
69,HQY
70,SYF
71,EARS
72,OTIC
73,AFMD
74,PRQR
75,AVAL
76,MDLY
77,CFG
78,GWGH
79,XENE
80,CHRS
81,TBK
82,FGEN
83,STOR
84,PGRE
85,LC
86,MOMO
87,JRVR
88,BLPH
89,SMMT
90,CLLS
91,XBIT
92,CDTX
93,VIRT
94,KMPH
95,BPMC
96,ADAP
97,COLL
98,LIFE
99,BVXV
100,JAGX
101,GLPG
102,OLLI
103,CHMA
104,LOB
105,VTVT
106,AQMS
107,KURA
108,EQBK
109,VYGR
110,WVE
111,MESO
112,MIME
113,DLTH
114,CLSD
115,PBNC
116,SELB
117,SYRS
118,LN
119,KNSL
120,APOP
121,FHB
122,ATMR
123,PTGX
124,NTB
125,FBK
126,NOVN
127,TTD
128,CSTR
129,ACIU
130,SNES
131,ATH
132,TIG
133,METC
134,HLNE
135,BYSI
136,CADE
137,VRNA
138,CLDR
139,ZYME
140,KALA
141,RBB
142,CELC
143,ZLAB
144,NCNA
145,DCPH
146,ALNA
147,SPRO
148,HX
149,MCB
150,CBTX
151,FEDU
152,APLS
153,ERYP
154,SBT
155,SFIX
156,SCPH
157,SURF
158,LEVL
159,GSHD
160,UBX
161,STXB
162,BCML
163,EVLO
164,OBNK
165,EQH
166,SRRK
167,KNSA
168,ITRM
169,MGTX
170,VRCA
171,EPRT
172,MGTA
173,KZR
174,APTX
175,AVRO
176,AUTL
177,ENTX
178,TCDA
179,TBIO
180,DOMO
181,CRNX
182,CCB
183,RUBY
184,ALLK
185,CNST
186,MYFW
187,REPL
188,FOCS
189,OPRA
190,PCB
191,ARDS
192,KOD
193,ESTC
194,ALLO
195,PHAS
196,OSMT
197,LOGC
198,GMDA
199,ORTX
200,AXNX
201,CNF
202,ETON
203,WEI
204,TLC
205,MOGU
206,MRNA
207,DMAC
208,QFIN
209,APM
210,AMTB
211,MDJH
212,TIGR
213,GNFT
214,DTIL
215,TMDX
216,RRBI
217,TRVI
218,SPFI
219,MIST
220,NXTC
221,CRTX
222,AXLA
223,JFIN
224,BCYC
225,IDYA
226,FULC
227,MIRM
228,GMAB
229,PHR
230,AMK
231,IFS
232,MDLA
233,PROS
234,VIST
235,SNDL
236,HKIB
237,JFU
238,CFB
239,SI
240,GRTX
241,ETNB
242,BILL
243,BEAM
244,PFHD
245,HUIZ
246,RVMD
247,PASG
248,LYRA
249,GAN
250,AYLA
251,ADCT
252,PLRX
253,LEGN
254,CALT
255,AMTI
256,GBIO
257,PCVX
258,RNA
259,RPTX
260,FMTX
261,PYPD
262,AKUS
263,FUSN
264,DNB
265,LMND
266,PSTX
267,NKTX
268,IVA
269,RLAY
270,RNLX
271,ITOS
272,INZY
273,ANNX
274,NRIX
275,LI
276,ALVR
277,RKT
278,IBEX
279,CMPI
280,KBNT
281,INBX
282,HRMY
283,KYMR
284,NNOX
285,MTCR
286,STEP
287,SNOW
288,DYN
289,CMPS
290,VTRU
291,ATHA
292,TSHA
293,PMVP
294,PRLD
295,GRAY
296,AMST
297,ORPH
298,BQ
299,NGMS
300,OLMA
